Congratulations, your application has been approved.
Unfortunately, we're not able to approve that request at this time.
Great news, your refund has already been issued.
I'm sorry to say that item is permanently out of stock.
Good news, we found an even better rate for you.
I regret to inform you that we can't extend the deadline this time.
Wonderful, everything is confirmed and ready to go.
I'm afraid the warranty on that item expired last month.
Fantastic, that discount has been applied successfully.
Sadly, that promotion ended over the weekend.
Zero, one, two, three, four, five, six, seven, eight, nine.
Your PIN is seven, three, six, zero.
The last four digits of your card are two, six, three, two.
The last four digits of your card are eight, zero, nine, four.
The last four digits of your card are four, eight, five, eight.
The last four digits of your card are six, two, three, nine.
The last four digits of your card are four, five, three, five.
The last four digits of your card are four, six, one, four.
The last four digits of your card are eight, six, three, two.
The last four digits of your card are one, zero, six, one.
The last four digits of your card are three, three, nine, four.
The last four digits of your card are three, nine, four, five.
The last four digits of your card are seven, zero, three, nine.
The last four digits of your card are four, three, eight, zero.
The last four digits of your card are four, zero, three, two.
The last four digits of your card are five, three, seven, six.
The last four digits of your card are five, seven, six, nine.
The last four digits of your card are two, seven, seven, eight.
The last four digits of your card are nine, four, three, one.
The last four digits of your card are nine, one, zero, zero.
The last four digits of your card are nine, zero, zero, four.
The last four digits of your card are zero, four, seven, six.
The last four digits of your card are nine, two, one, zero.
The last four digits of your card are five, three, three, six.
The last four digits of your card are five, one, four, six.
The last four digits of your card are zero, four, zero, one.
The last four digits of your card are four, two, four, seven.
The last four digits of your card are three, one, zero, seven.
The last four digits of your card are two, zero, one, one.
The last four digits of your card are three, seven, nine, eight.
The last four digits of your card are four, four, zero, nine.
The last four digits of your card are seven, one, two, three.
The last four digits of your card are one, six, six, zero.
The last four digits of your card are zero, seven, six, seven.
The last four digits of your card are six, two, zero, nine.
The last four digits of your card are seven, three, four, zero.
The last four digits of your card are zero, zero, nine, six.
The last four digits of your card are eight, seven, three, zero.
The last four digits of your card are four, five, one, nine.
The last four digits of your card are five, seven, seven, eight.
The last four digits of your card are two, five, five, eight.
The last four digits of your card are eight, two, five, five.
The last four digits of your card are six, two, nine, six.
The last four digits of your card are five, seven, five, four.
The last four digits of your card are two, seven, eight, six.
The last four digits of your card are five, six, one, nine.
The last four digits of your card are four, two, five, five.
The last four digits of your card are seven, seven, eight, two.
The last four digits of your card are zero, five, eight, two.
The last four digits of your card are nine, five, eight, two.
The last four digits of your card are nine, two, three, six.
The last four digits of your card are one, six, one, eight.
The last four digits of your card are eight, zero, eight, one.
The last four digits of your card are nine, zero, four, eight.
The last four digits of your card are two, three, five, seven.
The last four digits of your card are one, five, five, eight.
The last four digits of your card are six, eight, six, three.
The last four digits of your card are nine, five, six, one.
The last four digits of your card are three, seven, two, three.
The last four digits of your card are zero, eight, one, seven.
The last four digits of your card are six, four, three, eight.
The last four digits of your card are one, three, zero, zero.
The last four digits of your card are zero, four, one, three.
The last four digits of your card are two, one, one, four.
The last four digits of your card are seven, one, six, five.
The last four digits of your card are six, zero, nine, four.
The last four digits of your card are five, six, five, three.
The last four digits of your card are four, six, nine, nine.
The last four digits of your card are seven, nine, nine, zero.
The last four digits of your card are seven, zero, seven, five.
The last four digits of your card are six, eight, one, six.
The last four digits of your card are nine, nine, five, seven.
The last four digits of your card are zero, six, zero, seven.
The last four digits of your card are one, seven, four, eight.
The last four digits of your card are one, one, three, one.
The last four digits of your card are seven, six, five, three.
The last four digits of your card are four, eight, seven, three.
The last four digits of your card are nine, six, one, zero.
The last four digits of your card are two, nine, zero, eight.
The last four digits of your card are seven, one, eight, two.
The last four digits of your card are seven, four, nine, six.
The last four digits of your card are eight, zero, four, nine.
The last four digits of your card are one, eight, seven, two.
The last four digits of your card are seven, four, two, zero.
The last four digits of your card are four, nine, five, six.
The last four digits of your card are one, two, one, three.
The last four digits of your card are seven, seven, three, zero.
The last four digits of your card are six, two, six, zero.
The last four digits of your card are four, two, three, five.
The last four digits of your card are nine, seven, three, seven.
The last four digits of your card are two, nine, nine, zero.
The last four digits of your card are seven, seven, five, six.
The last four digits of your card are zero, eight, five, eight.
The last four digits of your card are one, six, seven, zero.
The last four digits of your card are four, six, eight, six.
The last four digits of your card are one, one, one, four.
The last four digits of your card are five, seven, six, eight.
The last four digits of your card are three, two, one, zero.
The last four digits of your card are two, one, nine, two.
The last four digits of your card are three, seven, eight, five.
The last four digits of your card are eight, four, seven, one.
The last four digits of your card are two, nine, six, one.
The last four digits of your card are eight, zero, three, three.
The last four digits of your card are two, four, two, six.
The last four digits of your card are zero, five, zero, eight.
The last four digits of your card are nine, eight, zero, four.
The last four digits of your card are two, five, three, seven.
The last four digits of your card are three, three, seven, seven.
The last four digits of your card are seven, three, one, two.
The last four digits of your card are six, eight, eight, one.
The last four digits of your card are two, two, eight, two.
The last four digits of your card are one, seven, eight, one.
The last four digits of your card are five, three, four, six.
The last four digits of your card are zero, six, zero, five.
The last four digits of your card are six, zero, three, five.
The last four digits of your card are six, seven, nine, three.
The last four digits of your card are two, seven, nine, eight.
The last four digits of your card are six, nine, zero, six.
The last four digits of your card are one, eight, one, two.
The last four digits of your card are zero, five, four, six.
The last four digits of your card are four, seven, five, four.
The last four digits of your card are eight, nine, five, four.
The last four digits of your card are seven, eight, seven, six.
The last four digits of your card are nine, eight, nine, nine.
The last four digits of your card are nine, two, seven, five.
The last four digits of your card are one, seven, five, eight.
The last four digits of your card are eight, nine, one, four.
The last four digits of your card are four, four, four, nine.
The last four digits of your card are eight, three, five, five.
The last four digits of your card are three, nine, three, five.
The last four digits of your card are four, three, five, eight.
The last four digits of your card are six, four, four, nine.
The last four digits of your card are six, three, nine, two.
The last four digits of your card are eight, five, three, seven.
