After I transfer you, the next representative will already have the notes from our conversation.
One more confirmation, the callback number ends in one, eight, three, five?
One more confirmation, the callback number ends in one, eight, three, six?
One more confirmation, the callback number ends in one, eight, two, eight?
One more confirmation, the callback number ends in one, eight, two, six?
One more confirmation, the callback number ends in one, eight, zero, five?
One more confirmation, the callback number ends in one, eight, zero, one?
One more confirmation, the callback number ends in one, five, eight, eight?
One more confirmation, the callback number ends in one, five, five, six?
One more confirmation, the callback number ends in one, five, four, three?
One more confirmation, the callback number ends in one, five, one, eight?
One more confirmation, the callback number ends in one, five, seven, three?
One more confirmation, the callback number ends in one, five, six, five?
One more confirmation, the callback number ends in one, five, six, nine?
One more confirmation, the callback number ends in one, five, three, eight?
One more confirmation, the callback number ends in one, five, three, four?
One more confirmation, the callback number ends in one, five, two, eight?
One more confirmation, the callback number ends in one, five, two, two?
One more confirmation, the callback number ends in one, four, eight, four?
One more confirmation, the callback number ends in one, four, five, three?
One more confirmation, the callback number ends in one, four, five, two?
One more confirmation, the callback number ends in one, four, four, five?
One more confirmation, the callback number ends in one, four, four, four?
One more confirmation, the callback number ends in one, four, nine, four?
One more confirmation, the callback number ends in one, four, one, four?
One more confirmation, the callback number ends in one, four, one, two?
One more confirmation, the callback number ends in one, four, six, nine?
One more confirmation, the callback number ends in one, four, six, one?
One more confirmation, the callback number ends in one, four, six, three?
One more confirmation, the callback number ends in one, four, three, eight?
One more confirmation, the callback number ends in one, four, three, four?
One more confirmation, the callback number ends in one, four, three, two?
One more confirmation, the callback number ends in one, four, three, zero?
One more confirmation, the callback number ends in one, nine, eight, seven?
